id,en,ar,d,cat,related
6331,domain name,اسم النطاق,عنوانٌ لوصلة شبكةٍ بالمَصَاغَة format التي تعيّن هُويةَ مالك العنوان بمَصَاغَةٍ تراتبية: المخدِّم. المنظمة. النوع. فالعنوان في المثال التالي: www.whitehouse.gov يحدِّد مخدِّمَ web في البيت الأبيض الذي هو جزءٌ من حكومة الولايات المتحدة.,15,
6332,domain name address,عنوان اسم النطاق,عنوانُ تجهيزةٍ مربوطة بإنترنت أو أيِّ شبكة TCP/IP في النظام التراتبي الذي يَستخدِمُ الكلمات لتعيين هُوية المخدِّمات، والمنظمات، والأنواع، مثل: www.logos.net.,15,
6333,domain name server,مخدِّم اسم النطاق,انظر: DNS server.,15,
6334,Domain Name System,نظام اسم النطاق,انظر: DNS.,15,
6335,Domain Naming System,نظام تسمية النطاقات,انظر: DNS.,15,
6336,dongle,[مفتاح حماية عتادي] dongle,انظر: hardware key.,18,
6337,dopant,شائبة منشِّطة,"شائبةٌ تُضاف بكميات صغيرة إلى مادةٍ نصفِ ناقلة أثناء تصنيع الديودات، والترانزستورات، والدارات المتكاملة. وتقع مقاومةُ نصف الناقل بين مقاومة الناقل ومقاومة العازل (وهذا سبب تسميته)، حيث تضاف الشوائبُ إلى نصف الناقل لزيادة ناقليته. إن نوعَ الشائبة وكميّتَها يحدِّدان فيما إذا كان نصفُ الناقل من نوع N (حيث يتكوَّن التيارُ من الإلكترونات الحرّة) أو من نوع P (حيث يتكوَّن التيارُ من الشواغر الإلكترونية، المسمّاة ""الثقوب holes""). من الشوائب الشائعة: الزرنيخ، والإثْمِد، والبزموت، والفوسفور.",4,
6338,DOS,نظام تشغيل من القرص,مختصر: disk operating system. مصطلحٌ عمومٌ يَصفُ أيَّ نظامِ تشغيل يجري إيساقه loaded من تجهيزات الأقراص عند بَدْء تشغيل الحاسوب أو إعادة إقلاعه. كان المصطلحُ يُميِّز أصلاً بين الأنظمة المعتمِدة على الأقراص، وأنظمة تشغيل الحواسيب الصغرية الأولية التي كانت تَعتمد على الذواكر أو تتقبَّل الأشرطةَ الورقية أو المغنطيسية فقط.,17,2812|2858
6339,DOS box,1 صندوق DOS ؛ 2 صندوق DOS,1- إجرائيةٌ في نظام التشغيل OS/2 تتقبَّل تنفيذَ برامج MS-DOS.,17,
6340,DOS extender,مُمَدِّد DOS,برنامجٌ صُمِّمَ لِمَدِّ الذاكرة التقليدية 640 كيلوبايت المتاحةِ للاستخدام في DOS والتطبيقات المعتمدة عليه. ويَعمل عن طريق المطالبة باستخدام جزء من الذاكرة المحجوزة (ذاكرة مستخدَمة من قبل أجزاء أخرى للنظام، مثل: الموائمة الفيديوية، وROM BIOS، ومنافذ الدخل/الخرج).,17,
6341,DOS prompt,[علامة] تقبّل DOS,"مؤشرٌ مرئيٌّ من معالِج أوامر MS-DOS يشير إلى أن نظامَ التشغيل جاهزٌ لقبول أمرٍ جديد. علامة تقبُّل DOS المغتفَلة default هي مسارٌ متبوعٌ بإشارةِ ""أكبر من"" (<:C مثلاً)، يُمكِن أن يصمِّمَ المستخدِمُ علامةَ تقبّلٍ حسب الطلب باستخدام أمر PROMPT.",17,
6342,dot,1 نُقْطة ؛ 2 نقطة [بيانية] ؛ 3 نقطة,"1- في أنظمة UNIX، وMS-DOS، وOS/2 وغيرها: المحرفُ الفاصلُ بين اسم الملف وامتداده، كما في TEXT.DOC.
2- في البيانيات الحاسوبية والطباعة: رُقْطَةٌ spot صغيرةٌ تُضمُّ إلى رقطٍ أخرى في مصفوفة من الأسطر والأعمدة لتشكيل محرفٍ أو عنصر بياني في رسْمٍ أو تصميم. تُسمّى النقطُ التي تشكِّل الصورةَ على الشاشة ""بكسلات"". ويُعبَّر غالباً عن المَيْز resolution في مظهار أو تجهيزة طباعة بعدد النقط في الإنش dpi. تختلف النقطُ عن الرُّقَط التي هي مجموعات من النقط تُستخدَمُ في إجرائيات نصف الدرجة اللونية halftone.",5|15|17,802|4000
6343,dot address,عنوان ذو نقط,عنوانُ IP شكلُه مؤلَّفٌ من أربعة مقاطع يفصل بينها نقاط.,15,466
6344,dot pitch,1 رَتْوَةٌ نقطية ، 2 رَتْوَةٌ نقطية,"1- في الطابعات: المسافةُ بين نقطتين في المصفوفات النقطية.
2- في المظاهير الفيديوية: مقياسٌ لنقاوة الصورة. فالرتوةُ النقطية للمظهار الفيديوي هي المسافةُ الشاقولية بين البكسلات المتماثلة في اللون مقدرة بالملمترات. فكلما كانت الرتوةُ النقطية أصغرَ كانت الصورةُ أكثرَ وضوحاً، مع أنه يمكِن أن يتغيَّر الفرقُ بين مظهارَين بسبب استخدام المصنِّعِين لطرائقَ مختلفة في تحديد الرتوة النقطية لمنتجاتهم. والرتوةُ النقطية لمظهارٍ هي جزءٌ مكمِّلٌ للمنتَج لا يمكِن تغييره.",5|16,1294|5961
6345,dot-addressable mode,نمط النقاط القابلة للعنونة,نمطٌ من العمليات يُمكِن فيه لبرنامجٍ حاسوبي عنونةُ (أو التأشير على) نقطٍ فردية مستقلة، على الشاشة أو في محرف مطبوع.,17,2581
6346,dot-matrix,مصفوفي نقطي,صفةٌ تُطلَق على عتاديات الفيديو والطباعة التي تشكِّل المحارفَ والصورَ البيانية بأشكال نمطية patterns مؤلَّفة من نقط.,5,
6347,dot-matrix,مصفوفة نقاط,"شبكةٌ مستطيلة، أو مصفوفةٌ من ""خلايا"" دقيقة تُظهَر فيها النقاطُ أو تُطبَعُ على الشكل المطلوب لتشكيل المحارف، والدوائر، والمربعات، والصور البيانية الأخرى. وتبعاً للإطار frame المرجعيِّ، يتغيَّر حجمُ مصفوفة النقاط من بضعة أسطر وأعمدة إلى شبكةٍ مخفية تغطّي شاشةَ المظهار أو الصفحةَ المطبوعة كلَّها.",5,3830|6348
6348,dot-matrix printer,طابعة مصفوفية نقطية,أيّةُ طابعةٍ تولِّدُ محارفَ انطلاقاً من نقاطٍ باستخدام رأس طباعةٍ سلكيٍّ إبري. تَعتمد جودةُ طباعة الطابعة المصفوفيّة النقطية إلى حدٍّ بعيد على عدد النقاط في المصفوفة، الذي يمكن أن يكون منخفضاً لدرجة أنه يمكِن رؤيةُ النقاط نقطة نقطة، ويمكِن أن يكون مرتفعاً بما يكفي لكي يقترب منظر المحارف من محارفَ ممتلئة. تُصنَّفُ الطابعاتُ المصفوفية النقطية بحسب عدد إبر رأس الطباعة، وهي عموماً 9 أو 18 أو 24.,18,
6349,dots per inch,نقطة في الإنش,مختصره: dpi. مقياسٌ لمَيْزِ resolution الشاشةِ والطابعة، ويعبَّر عنه بعدد النقاط التي يمكن للتجهيزة أن تطبعَها أو تُظهِرَها على خطٍّ مستقيم طولُه إنشٌ واحد.,18,
6350,double buffering,تخزين مزدوج [في صِوان],استعمالُ منطقتَيْ تخزين مؤقَّتَتَيْن (صوانين buffers) بدلاً من منطقة واحدة، لاحتجاز المعلومات الآتية من تجهيزة دخل/خرج معيَّنة أو الذاهبة إليها. يَزيدُ التخزينُ المزدوج في سرعة النقل، لأن أحدَ الصوانَيْن يمكِن أن يمتلئَ أثناء تفريغ الآخر.,17,
6351,double dabble,جَمْعٌ مُتعاقِب,طريقةٌ لتحويل الأعداد الاثنانية إلى أعدادٍ عشرية عن طريق إجرائيةِ مضاعفةِ المجموع وإضافة البتّات المتعاقبة؛ مضاعفة بِتِّ أقصى اليسار، وإضافة البتِّ التالي ومضاعفة المجموع، ثم إضافة البتّ التالي ومضاعفة المجموع، وهكذا… إلى أن يصبح بتُّ أقصى اليمين محتوىً في المجموع الكلِّي.,13,
6352,double word,كلمة مزدوجة,وحدةٌ من المعطيات مكوَّنةٌ من كلمتين متلاصقتين (من البايتات، لا من نصّ) يتعامل المعالِجُ الصغريُّ في حاسوبٍ معهما معاً.,7,
6353,double-click,ينقر نقراً مزدوجاً,يَضغطُ ويُحرِّر زرَّ الفأرة مرتين دون تحريك الفأرة. يُعدّ النقر المزدوجُ وسيلةً سريعة لانتقاء وتنشيط برنامجٍ أو ميزة برنامج.,17,
6354,double-density disk,قرصٌ مضاعَفُ الكثافةِ,قرصٌ أُنشئَ لتخزين المعطيات بكثافةٍ مضاعفةٍ مقارنةً بِجيلٍ سابق من الأقراص. فقد كانت الأقراصُ المرنةُ للحاسوب الشخصي IBM قادرةً على تخزين 180 كيلوبايت من المعطيات، ثم زادت الأقراصُ المضاعفةُ الكثافةِ السعةَ إلى 360 كيلوبايت. تَستخدِمُ الأقراصُ المضاعفةُ الكثافةِ لتخزين المعطيات طريقةَ الترميز بالترنيم modulation الترددي المعدَّل.,18,3026|3101
6355,double-dereference,يتوصّل توصّلاً مزدوجاً,يَتوصّلُ إلى مؤشِّرٍ يؤشِّر عليه مؤشرٌ آخر، أي يَنفُذ إلى المعلومات المؤشَّر عليها بمقبض handle.,19,83|1736|6155
6356,double-precision,مضاعَفُ الدقة,صفةٌ لعدد يُخزَّن في مقدارٍ من ذاكرة الحاسوب (كلمتان، لكلٍّ منهما ثمانيةُ بايتات عادةً) يساوي ضعفَ المقدار اللازم لتخزين عدد أقل دقة (أحادي الدقة). يتعامل الحاسوبُ عادةً مع الأعداد المضاعفة الدقة بصيغةِ الفاصلة العائمة.,1,
6357,double-sided disk,قرص ذو وجهين,قرصٌ مرنٌ يمكنه خزْنُ المعطيات على وجهيه: العلوي والسفلي.,18,
6358,double-strike,طَرْقٌ مزدوج,في طابعة طَرْقية (كطابعة ذات كُرَيّة محرفية daisy-wheel): إجرائيةُ الطباعة مرتين فوق الكلمة، لتُنتجَ نصّاً يَظهر أغمقَ وأثقل، أو أعرض من ظهوره العادي. يمكِن استخدامُ الطَّرْق المزدوج في الطابعات المصفوفية النقطية مع انزياحٍ خفيف لطَلْسِ الفراغ بين النقط، وإنتاجِ محارفَ أغمق وأشد ملاسة.,18,
6359,doubly linked list,لائحة مزدوجة الربط,سلسلةٌ من العُقَد (بنودٌ تمثِّل مقتطَعاتِ معلوماتٍ منفصلة) تشير فيها كلُّ عقدة إلى العقدتين السابقة واللاحقة. وبسبب طريقة الربط هذه يمكِن الانتقالُ بين عناصر اللائحة المزدوجة الربط في كلا الاتجاهين، على خلاف اللائحة المفردة الربط التي لا يمكِن الانتقالُ بين عناصرها إلا في اتجاه واحد فقط.,19,
6360,down,متوقِّف [عن العمل],لا يَعمل. يُستخدَمُ لوصف الحواسيب والطابعات وخطوط الاتصالات وعتاديات أخرى مشابهة.,3|18,
6361,drive bay,حُجَيْرَةُ مِسْوَق,منطقةٌ مستطيلةٌ مفرَّغة ضمن الهيكل المعدني للحاسوب مصمَّمةٌ لاحتواء مِسْوَقِ القرص. هناك دائماً جدران جانبية معدنية لحجيرة المِسْوَق، تحتوي على فتحات لتسهيل تركيب مِسْوَقِ القرص. بعضُ حجيرات المساوق، كتلك المخصصة لاحتواء الأقراص الصُّلبة، تكون غيرَ مرئية للمستخدِم. ومعظمُ المساوق موضوعةٌ في الجانب الأمامي للهيكل المعدني بحيث يستطيع المستخدِمُ أن يتعاملَ مع المسْوَق.,4,
6362,drive letter,رمْزُ المِسْوَق,تسميةٌ اصطلاحيةٌ لمساوق الأقراص في حواسيب IBM والمتوافقة معها. سُمِّيت المساوق بحرف، بدءاً من A، متبوعاً بنقطتين (:).,17,
6363,drive mapping,مقابلة المِسوَق [بـ],إسنادُ حرفٍ أو اسمٍ لمِسْوَقِ الأقراص، بحيث يُمكِن لنظامِ التشغيل أو مخدِّمِ الشبكة تعيينُ هُويته وموضعه. مثلاً، تكون مقابَلة المساوق الأولية في الحواسيب الشخصية كما يلي :A و:B لمساوق الأقراص المرنة و:C للقرص الصُّلب.,17,1842|6260
6364,drive number,رقم المِسْوَق,تسميةٌ اصطلاحيةٌ لمساوق أقراص Macintosh. فالنظامُ ذو المسْوَقَيْن مثلاً يسمِّي هذين المسوقين: 0 و1.,17,
6365,driver,سوّاق [برمجي],برنامجٌ أو تجهيزةٌ عتاديةٌ لضبط (أو التحكّم في) تجهيزةٍ أخرى. فمثلاً، يُقوِّي سوّاقُ الخطِّ الإشاراتِ المُرسَلةَ على خطِّ اتصالات. سوّاقُ التجهيزة هو برنامجُ تحكّمٍ مختصٌّ بالتجهيزة، يؤهِّل الحاسوبَ للعمل مع تجهيزة مُعيّنة كالطابعة أو مِسْوَقِ الأقراص.,17,1421
6366,DRO,قراءة مُتلِفة,"مختصر: destructive readout.
انظر: destructive read.",,
6367,drop cap,حرف استهلالي مكبّر,حرفٌ كبير وعريض في بداية كتلة نصية، يَشْغَلُ عمقاً شاقولياً لسطرين أو أكثر من نصٍّ نظامي.,26,
6368,drop in,يقرأ إشارة مغلوطة,يَقرأ إشارةً كاذبة خلال عملية قراءة/كتابة للمعطيات، فتُنتِجُ معطيات خاطئة.,23,
6369,drop out,يَفقد الإشارة [لحظياً],يُضيِّع إشارةً لحظياً خلال عملية قراءة/كتابة للمعطيات، فتُنْتِجُ معطيات خاطئة.,23,
6370,drop-down menu,قائمة [خيارات] منسدلة ثابتة,قائمةٌ تنسدلُ من شريط قائمة الخيارات عند طلبها، وتبقَى مفتوحةً دون أيِّ فعْل حتى يُغلقَها المستخدِمُ أو يختارَ بنداً من القائمة.,17,
6371,drum,أسطوانة [طباعة],أسطوانةٌ دوّارةٌ تُستخدَمُ في بعض الطابعات والراسمات (في الأيام الأولى للحواسيب الرئيسة) وسيطةً مغنطيسيةً لتخزين المعطيات . تُطلَى الأسطوانةُ الدوارةُ في الطابعات الليزرية بطبقةٍ من مادة كهرضوئية تَحجز شحنةً عند تسليط حزمة ليزرية عليها. تَجذبُ الرُّقَطُ spots المشحونةُ كهربائياً على الأسطوانة جزيئاتِ الصباغ (الحبر) التي تنقلها الأسطوانةُ إلى الورق عند مروره عليها.,18,
6372,drum plotter,راسمة ذات أسطوانة,راسمةٌ يُلَّفُّ فيها الورقُ حول أسطوانة كبيرة دوّارة، وذاتُ قلمٍ يتحرّك إلى الأمام والخلف في النقطة العليا من الراسمة. تُدارُ الورقةُ مع الأسطوانة لتحاذيَ النقطةُ المناسبةُ على الورقة القلمَ. تَشْغَلُ الراسماتُ ذات الأسطوانة حيّزاً من الفراغ أصغرَ من ذلك الذي تحتاج إليه الراسماتُ ذات المنصّة المسطحة التي تتعامل مع ورق له نفس الأبعاد. وفي الواقع ليس هناك حدٌّ لطول الورق الذي تتعامل معه، وهذا يمثِّل ميزةً في بعض التطبيقات.,18,1996
6373,drum scanner,ماسحة ذات أسطوانة,نوعٌ من الماسحات تَدور فيه الوسيطةُ الممسوحة (صفحة الورق مثلاً) حول رأس المسح الثابت.,18,1100
6374,dry run,تنفيذ اختباري,تنفيذُ برنامجٍ مُعدٍّ بحيث يكون له أثرٌ بالغ، كإصاغة formatting قرص أو طبع كتاب، مع عدم تأهيل الأثر، ومن ثَم منع إصاغة القرص عند وجود معطيات عليه أو تبذير الورق.,17,
6375,DVST,صِمَامُ خزْنٍ ذو رؤية مباشرة,انظر: direct view storage tube.,,
6376,DXF,مَصَاغَةُ التبادل البيني للرسم,مختصر: drawing interchange format. مَصَاغَةُ ملفاتِ تصميمٍ بمعونة الحاسوب، مطوَّرةٌ أصلاً للاستخدام مع برنامج AutoCAD لتسهيل نقل الملفات البيانية بين تطبيقات مختلفة.,5,
6377,dyadic,ثُنائي,صفةٌ للزوج (الاثنين). فالمعالِجُ الثُّنائي مثلاً هو الذي يحوي معالجين يتحكّم فيهما نظامُ التشغيل نفسه. ويَقتصر استعمالُ هذا المصطلح عادةً على وصْف نظامٍ ذي معالجين صغريين. أما العملياتُ البوليانية الثنائية فهي مثل AND وOR التي يَعتمد الخرجُ فيها على كلتا القيمتين.,13|17,240|5437
6378,EIS,نظام معلومات تنفيذي,انظر: executive information system.,8,
6379,EISA,البنيان الصناعي القياسي الموسَّع,"مختصر: Extended Industry Standard Architecture. مِقْيَسٌ standard لربط بطاقات مضافة إلى اللوحة الأم في الحاسوب الشخصي عن طريق المسرى، (مثل: بطاقات الفيديو، والمودمات الداخلية، وبطاقات الصوت، ومتحكّمات المِسْوَق، وبطاقات داعمة لطرفيات أخرى). طُرح EISA في عام 1988 من قِبل تجمّع تسْع شركاتٍ صانعة للحواسيب هي: AST Research، Compaq، Epson، Hewlett-Packard، NEC، Olivetti، Tandy، Wyse، Zenith وعرفت بـ ""عصابة التسعة the Gang of Nine"". تحتفظ EISA بالتوافقية مع بنيان المِقْيَس الصناعي ISA الأسبق، ولكنها توفِّر مزايا إضافية طرحتْها شركةُ IBM في مِقْيَسِها ""مسرى بنيان القناة الصغرية"" (Micro Channel Architecture bus). يمتلك EISA مسارَ معطيات مكوناً من 32 بت، ويَستخدِمُ مرابطَ تَقبَل بطاقات ISA. بَيْدَ أن بطاقات EISA متوافقةٌ فقط مع أنظمة EISA. يمكِن أن يعمل EISA بترددات أعلى بكثير من مسرى ISA ويوفِّر معدلَ تدفّقِ معطيات أكبر بكثير من ISA.",18,1909|1959
6380,electroluminescent,مُضيءٌ كهربائياً,يُخرِجُ ضوءاً عند تطبيق تيار كهربائي. تُستخدَمُ اللوحاتُ المضاءةُ كهربائياً في الحواسيب المحمولة، لتضيءَ من الخلف مظاهيرَ ذات بلورات سائلة. توضع طبقةٌ رقيقة من المواد المتفسفرة بين لوحَي مسريين electrodes رقيقين، أحدُهما شفّاف تقريباً.,18,2312
6381,electroluminescent display,مِظهارٌ مُضيءٌ كهربائياً,مِظهارٌ على شكل لوحةٍ مسطحة (يُستخدَمُ في الحواسيب الحمولة) ذاتِ طبقة فوسفورية رقيقة موضوعة بين مسريين electrodes أفقي وشاقولي. يعطي هذان المسريان الإحداثيين x-y. عندما يُشحَن المسريان الأفقي والشاقولي يشعّ الضوءُ من المادة المتفسفرة عند تقاطعهما. توفِّر المظاهيرُ المضيئةُ كهربائياً صورةً واضحة وصافية، وزاويةَ رؤيةٍ واسعة. أُبدلتْ هذه المظاهير بشاشات LCD ذات مصفوفة فعالة.,18,2312|3007
6382,electrolysis,كَهْرَلَة (تحليل كهربائي),إجرائيةُ تَحلُّل مركبٍ كيميائي إلى مكوِّناته عند مرور تيار كهربائي فيه.,,
6383,electromagnet,مَغْنَطيس كَهْرَبائي,جهازٌ يولِّد حقلاً مغنطيسياً عند مرور تيار كهربائي فيه. ويتألَّف عادةً من نواة حديدية أو فولاذية مغلَّفة بسلك، حيث يولِّد التيارُ المارُّ عبر السلك حقلاً مغنطيسياً. ويُستعمَلُ المغنطيسُ الكهربائي في مِسْوَقِ الأقراص disk drive لتسجيل المعطيات على سطح القرص.,18,
6384,electromagnetic radiation,إشعاع كَهْرَطيسي,انتشارُ حقلَين كهربائي ومغنطيسي في الفراغ. وتُعدُّ الأمواجُ الراديوية، والضوءُ، وأشعةُ X، أمثلةً على الإشعاع الكهرطيسي، وجميعُها يَنتقل بسرعة الضوء.,,
6385,electromagnetic spectrum,طَيْف كَهْرَطيسي,مجالُ تردد الإشعاع الكهرطيسي. مجالُ الطيف غيرُ محدود نظرياً.,,
6386,electron beam,حُزْمة إلكترونات,دفْقٌ من الإلكترونات يتحرك باتجاه واحد. تُستعمَلُ حزمةُ الإلكترونات في صِمام الأشعة المهبطية CRT لتشكيل الصورة، وذلك عند اجتيازها المادةَ المتفسفرةَ المبطِّنةَ لداخل الصمام.,18,5961
6387,electron gun,مِدْفَع إلكتروني,تجهيزةٌ تولِّد حزمةَ إلكترونات، وتوجَد عادةً في شاشات التلفاز أو المراقيب الحاسوبية.,18,
6388,electron tube,صِمَام إلكتروني,تجهيزةٌ لابتدال switching الإشارات الإلكترونية وتضخيمها، وتتألّف من حاويةٍ زجاجية مختومة وبداخلها عناصرُ إلكترونية من قبيل صفائح وشبكات معدنية. ومع أن الترانزستورات حلَّتْ محلَّ هذه الصِّمامات في أغلب التطبيقات، فإنها مازالت تُستعمَلُ في صِمامات الأشعة المهبطية، وبعضِ دارات التردد الراديوي، والمضخمات السمعية.,18|23,5961
6389,electronic bulletin board,لوحة نشرات إلكترونية,انظر: BBS.,15,
6390,electronic cash,نقد إلكتروني,انظر: electronic money.,15,
6391,electronic circuit,دارة إلكترونية,انظر: circuit.,4,
6392,electronic commerce,تجارة إلكترونية,نشاطٌ تجاريٌّ يجري عن طريق الحواسيب المرتبط بعضها ببعض، فيَحدث الاتصالُ بين المستخدِم والبائع بوساطة خدمة معلومات موصولة إلى الخط عبر شبكة إنترنت أو BBS (نظام لوحة النشرات)، أو يَحصُل الاتصالُ بين حاسوبَي البائع والزبون بواسطة التبادل الإلكتروني للمعطيات EDI.,15,6394
6393,electronic credit,ائتمان إلكتروني,ضربٌ من التجارة الإلكترونية، تُجرَى فيه مداولاتٌ تجارية متعلقة ببطاقات الائتمان، عبر شبكة إنترنت.,15,6392
6394,electronic data interchange,تبادل إلكتروني للمعطيات,انظر: EDI.,15,
6395,electronic data processing,معالجة إلكترونية للمعطيات,انظر: data processing.,15,
6396,electronic form,استمارة إلكترونية,انظر: e-form.,15,
6397,Electronic Industries Association,رابطة الصناعات الإلكترونية,انظر: EIA.,11,
6398,electronic mail,بريد إلكتروني,انظر: e-mail.,15,
6399,electronic mail services,خدمات البريد الإلكتروني,خدماتٌ تَسمح للمستخدِمين، أو القيِّمين، أو النواطر daemons بإرسال، أو استقبال، أو معالجة البريد الإلكتروني.,15,
6400,electronic mall,مجموعة أعمال إلكترونية,"جَمْعَةٌ افتراضيةٌ من الأعمال ""على الخط online""، التي يَنضمُّ بعضُها إلى بعض بغية زيادة الإعلان عن كلٍّ منها من خلال الأعمال الشريكة الأخرى.",15,
6401,electronic money,مال إلكتروني,انظر: e-money.,15,
6402,electronic music,موسيقى إلكترونية,موسيقى مولَّدة عن طريق الحواسيب والتجهيزات الإلكترونية.,14,2882|4637
6403,electronic office,مكتب إلكتروني,مصطلحٌ استُخدِمَ على وجه الخصوص من أواخر السبعينيات حتى أواسط الثمانينيات للإشارة إلى بيئة عملٍ افتراضية خاليةٍ من استخدام الورق، وتَعتمد على استخدام الحاسوب وتجهيزات الاتصالات.,16,
6404,electronic photography,تصوير [ضوئي] إلكتروني,انظر: digital photography.,5,
6405,electronic publishing,نشر إلكتروني,مصطلحٌ عام لتوزيع معلومة عن طريق وسيطة إلكترونية، مثل: شبكات الاتصالات أو الأقراص المتراصة CD-ROM.,26,
6406,electronic software distribution,توزيع إلكتروني للبرمجيات,مختصره: ESD. وسيلةٌ لتوزيع البرمجيات المباشر على المستخدِمين الموصولين إلى الخط عبر إنترنت. يماثلُ التوزيعُ الإلكترونيُّ للبرمجيات الطلبَ المباشرَ بالبريد الإلكتروني.,15,
6407,electronic spreadsheet,وريقات الجدولة الإلكترونية,انظر: spreadsheet program.,16,
6408,electronic storefront,واجهة عرض إلكترونية,عملٌ تجاريٌّ تُعرَض بضائعُه على إنترنت بحيث يمكِن الاتصالُ بالمورِّد مباشرة أو شراؤها على الخط.,15,
6409,electronic text,نص إلكتروني,انظر: e-text.,15,
6410,electronics,الإلكترونيّات,فرعُ الفيزياء الذي يتعامل مع الإلكترونات، والتجهيزات الإلكترونية، والدارات الكهربائية.,,
6411,electrophotographic printers,طابعات بالتصوير [الضوئي] الكهربائي,طابعاتٌ من فئة: الطابعات الليزرية، والطابعات باستخدام ديود إشعاع ضوئي LED، والطابعات باستخدام مظهار ذي بلورات سائلة LCD، والطابعات بترسيب الشوارد. تُطبَّق صورةٌ سلبية في مثل هذه الطابعات على أسطوانة حسّاسة ضوئياً ومشحونة كهربائياً. تولِّد الأسطوانةُ الحسّاسة ضوئياً على سطحها شكلاً للشحنات الكهرساكنة يماثلُ الصورةَ السلبية التي ستطبعها الأسطوانة. يلتصق الحبرُ المسحوقُ (الصباغ) على المناطق المشحونة من الأسطوانة التي تَضغط بدورها الحبرَ على الورق. يتصلَّب الحبرُ على الورقة بفعْل الحرارة. تختلف الطابعاتُ فيما بينها باختلاف طريقة شحْن الأسطوانة.,18,3068|3090|3092|3094
6412,electrophotography,تصوير [ضوئي] كهربائي,إنتاجُ الصور الضوئية باستخدام الشحنات الكهرساكنة. ويُستخدَمُ في آلات النسخ الضوئية والطابعات الليزرية.,18,6411
6413,electrostatic,كَهْرَساكن,صفةٌ لما له صلةٌ بالكهرباء الساكنة. تُستعمَلُ الشحناتُ الكهربائية الساكنة في آلات النسخ والطابعات الليزرية لإبقاء جسيمات الصباغ على أسطوانةٍ حسّاسة للضوء، وفي الراسمات ذات المنصّة المسطَّحة لإبقاء وسيطة الرسم في مكانها.,18,
6414,electrostatic discharge,تفريغ كَهْرساكن,تفريغُ الكهرباء الساكنة من منبعٍ خارجي (مثل أيدي الإنسان)، إلى دارة متكاملة. وغالباً ما يكون لذلك نتائج مؤذية.,,
6415,electrostatic plotter,راسمة بالشحنة الكهرساكنة,راسمةٌ تولِّد صورةً من شكلٍّ نمطي نقطي على ورق ذي طلاء خاص. يُشحَنُ الورقُ بكهرباء ساكنة ثم يُعرَّض للصباغ، الذي يلتصق بالنقاط على الورق. إن الراسمات بالشحنة الكهرساكنة أسرعُ بخمسين مرة من الراسمات القلمية، ولكنها أغلى ثمناً. تعطي الراسماتُ الملونة صوراً ملوَّنة بالمرور فوق الورقة عدة مرات، مرة للأزرق الغامق وأخرى للأحمر الأرجواني، ثم الأصفر فالأسود.,18,1996
6416,electrostatic printer,طابعة بالشحنة الكهرساكنة,انظر: electrostatic plotter.,18,
6417,elegant,أنيق,ما يَجمَعُ بين البساطة والإيجاز والفعالية والدقة. من الناحية الأكاديمية للمعلوماتية: يُعدّ التصميمُ الأنيق (للبرامج والخوارزميات والعتاديات) ذا أولويّة، ولكن في عصر التنافس في الصناعة المعلوماتية، يُضحَّى بالتصميم الأنيق على أملِ الإسراع في تطوير المنتجات، فتحصُل غالباً عثراتٌ صعبةُ الحل.,21,
6418,element,1 عنصر ، 2 عنصر,1- أيُّ بند قائم بذاته ضمن سياق أعمّ. مثلاً: عنصر المعطيات هو بند المعطيات الذي يتسم بمميزات وخواص مجموعة أكبر من العناصر، وعنصر الصورة (البكسل) هو نقطة واحدة من شاشة الحاسوب أو من بيانيات الحاسوب، وعنصر الطباعة هو جزء من طابعة ذات كرية محرفية يتضمن محارف نافرة.,7|15,802|2942|4776|6020
6419,elevator,مِصْعَد,صندوقٌ مربعٌ في داخل شريط الزلْق scroll bar يمكن أن يتحرك إلى الأعلى والأسفل لتغيير موضع نصٍّ أو صورة على الشاشة.,26,4173
6420,elevator seeking,نِشدان بطريقة المصاعد,طريقةٌ لتقليص زمن النفاذ إلى القرص الصُّلب، يجري فيها وضع أولويات لطلبات المعطيات العديدة، اعتماداً على موضع المعطيات بالنسبة إلى رأس القراءة/الكتابة. ويساعد هذا على جعل حركة الرأس أصغرية.,17,775|1842|3885
6421,elite,1 [قياس] elite ؛ 2 [بنط] elite,"1- مقاسٌ لنوعٍ ذي عرضٍ ثابت يَطبع 12 محرفاً في الإنش.
2- بنطٌ ذو عرضٍ ثابت يمكن أن يكون متوفِّراً بمقاسات نوع متغيرة.",26,2887
6422,ELIZA,[برنامج] ELIZA,"برنامجٌ، نُمذِج وفق المعالجة النفسية ""الروجرية Rogerian""، يحاكي المحادثات مع الناس عن طريق إرجاع صدى echoing الأجوبة وطرحِ الأسئلة اعتماداً على كلمات مفتاحية من تعليقات سابقة. أوجَد هذا البرنامجَ Joseph Weizenbaum، واعتبره نوعاً من المزاح، ولكنه ذُعر عندما حَمَله الناسُ على محمل الجِدّ.",25,3114
6423,elm,بريد إلكتروني,مختصر: electronic mail. برنامجٌ لقراءة ونَظْمِ بريدٍ إلكتروني في نُظم UNIX. يحتوي برنامجُ elm على محرِّرٍ يمكن إظهارُه مِلْءَ الشاشة، وهذا ما يجعله أسهل استخداماً من برنامج البريد الأصلي. إلا أن elm قد حلَّ محلَّه برنامجُ pine.,15,1245
